t,sample1
0.0,0.0
0.001,0.587785252292473
0.002,0.9510565162951536
0.003,0.9510565162951536
0.004,0.5877852522924731
0.005,1.2246467991473532e-16
0.006,-0.5877852522924732
0.007,-0.9510565162951536
0.008,-0.9510565162951538
0.009,-0.5877852522924732
0.01,-2.4492935982947064e-16
0.011,0.5877852522924728
0.012,0.951056516295154
0.013,0.9510565162951538
0.014,0.5877852522924732
0.015,3.673940397442059e-16
0.016,-0.5877852522924728
0.017,-0.951056516295154
0.018,-0.9510565162951538
0.019,-0.5877852522924734
0.02,-4.898587196589413e-16
0.021,0.5877852522924741
0.022,0.9510565162951536
0.023,0.951056516295154
0.024,0.5877852522924721
0.025,-1.1640334398265737e-15
0.026,-0.5877852522924725
0.027,-0.9510565162951534
0.028,-0.951056516295154
0.029,-0.5877852522924737
0.03,-7.34788079488412e-16
0.031,0.5877852522924724
0.032,0.9510565162951534
0.033,0.9510565162951528
0.034,0.5877852522924709
0.035,-2.6954609193973537e-15
0.036,-0.5877852522924724
0.037,-0.9510565162951534
0.038,-0.951056516295154
0.039,-0.5877852522924738
0.04,-9.797174393178826e-16
0.041,0.5877852522924751
0.042,0.9510565162951544
0.043,0.951056516295154
0.044,0.5877852522924739
0.045,1.102182119232618e-15
0.046,-0.5877852522924721
0.047,-0.9510565162951532
0.048,-0.951056516295153
0.049,-0.5877852522924711
0.05,2.328066879653148e-15
0.051,0.5877852522924691
0.052,0.9510565162951532
0.053,0.951056516295153
0.054,0.5877852522924741
0.055,-2.2056021997384123e-15
0.056,-0.5877852522924719
0.057,-0.9510565162951544
0.058,-0.951056516295154
0.059,-0.587785252292477
0.06,-1.469576158976824e-15
0.061,0.5877852522924747
0.062,0.9510565162951532
0.063,0.951056516295153
0.064,0.5877852522924742
0.065,-1.9606728399089416e-15
0.066,-0.5877852522924775
0.067,-0.9510565162951542
0.068,-0.951056516295152
0.069,-0.5877852522924715
0.07,5.3909218387947074e-15
0.071,0.5877852522924688
0.072,0.9510565162951532
0.073,0.9510565162951552
0.074,0.5877852522924746
0.075,-1.7157434800794713e-15
0.076,-0.5877852522924715
0.077,-0.9510565162951542
0.078,-0.9510565162951542
0.079,-0.5877852522924718
0.08,-1.959434878635765e-15
0.081,0.5877852522924742
0.082,0.9510565162951552
0.083,0.9510565162951532
0.084,0.587785252292469
0.085,-1.4708141202500005e-15
0.086,-0.5877852522924714
0.087,-0.951056516295152
0.088,-0.9510565162951544
0.089,-0.5877852522924777
0.09,-2.204364238465236e-15
0.091,0.5877852522924741
0.092,0.951056516295153
0.093,0.9510565162951532
0.094,0.5877852522924749
0.095,-1.2258847604205302e-15
0.096,-0.5877852522924769
0.097,-0.951056516295154
0.098,-0.9510565162951522
0.099,-0.5877852522924721
0.1,4.656133759306295e-15
0.101,0.5877852522924739
0.102,0.9510565162951508
0.103,0.9510565162951556
0.104,0.5877852522924751
0.105,-9.809554005910593e-16
0.106,-0.5877852522924767
0.107,-0.9510565162951518
0.108,-0.9510565162951544
0.109,-0.5877852522924724
0.11,4.411204399476825e-15
0.111,0.5877852522924795
